time,open,high,low,close,tick_volume,spread,real_volume
2025-08-04 18:12:00,1.1574,1.1575,1.15738,1.15738,28,9,0
2025-08-04 18:13:00,1.15739,1.15746,1.15739,1.15745,33,9,0
2025-08-04 18:14:00,1.15744,1.15746,1.15737,1.15745,29,9,0
2025-08-04 18:15:00,1.1574200000000001,1.15762,1.15736,1.15749,55,9,0
2025-08-04 18:16:00,1.15749,1.1575,1.15734,1.15737,33,9,0
2025-08-04 18:17:00,1.15737,1.15743,1.15729,1.15732,40,9,0
2025-08-04 18:18:00,1.15731,1.15741,1.15731,1.15738,21,9,0
2025-08-04 18:19:00,1.15738,1.15738,1.15709,1.15719,46,9,0
2025-08-04 18:20:00,1.1572,1.1573,1.1572,1.15722,32,9,0
2025-08-04 18:21:00,1.1572,1.1575199999999999,1.1572,1.15745,38,9,0
2025-08-04 18:22:00,1.15745,1.15757,1.15745,1.15749,28,9,0
2025-08-04 18:23:00,1.1575,1.15751,1.15743,1.15744,37,9,0
2025-08-04 18:24:00,1.15746,1.1577,1.1574200000000001,1.15766,45,9,0
2025-08-04 18:25:00,1.15769,1.15775,1.15756,1.15756,34,9,0
2025-08-04 18:26:00,1.15756,1.15759,1.1574,1.1574200000000001,32,9,0
2025-08-04 18:27:00,1.1574200000000001,1.15746,1.1573,1.1573,26,9,0
2025-08-04 18:28:00,1.1573,1.15736,1.15725,1.15726,33,9,0
2025-08-04 18:29:00,1.15727,1.15731,1.1571500000000001,1.15719,39,9,0
2025-08-04 18:30:00,1.15721,1.15725,1.15702,1.15712,46,9,0
2025-08-04 18:31:00,1.15709,1.1571,1.15698,1.15705,34,9,0
2025-08-04 18:32:00,1.15705,1.1571799999999999,1.15699,1.15717,34,9,0
2025-08-04 18:33:00,1.15717,1.15717,1.15696,1.15698,37,9,0
2025-08-04 18:34:00,1.15699,1.15704,1.15686,1.15699,43,9,0
2025-08-04 18:35:00,1.157,1.15706,1.1569099999999999,1.1569099999999999,31,9,0
2025-08-04 18:36:00,1.1569099999999999,1.15698,1.15688,1.15697,34,9,0
2025-08-04 18:37:00,1.15697,1.15709,1.15695,1.15699,48,9,0
2025-08-04 18:38:00,1.15697,1.15703,1.15694,1.15701,27,9,0
2025-08-04 18:39:00,1.15701,1.15701,1.15692,1.15697,22,9,0
2025-08-04 18:40:00,1.15697,1.15703,1.15674,1.15676,52,9,0
